VARIABLE NAME,DESCRIPTION,SAS ANALYSIS FORMAT,SAS SYSTEM DATA LENGTH,SAS FORMAT,FORM,VAR START DATE,VAR END DATE,FORM SECTION,DATA TYPE,INTERPRETATION_TYPE,Delete When,nas,VARIABLE LABEL IN SAS DATA,COMMENT 
DOBUT_DON_OLD,DECEASED DONOR-DOBUTAMINE W/IN 24 HRS PRE-CROSS CLAMP,$SERSTAT,1,$1.00 ,DDR,1-Apr-94,27-Jan-03,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR DOBUTAMINE PRIOR TO CROSS CLAMP,
DON_RETYP,DECEASED DONOR-RETYPED AT TX CENTER,,1,$1.00 ,RH,1-Oct-87,,TEST INFORMATION,CHAR,CHAR,,,RH DONOR RETYPED AT YOUR CENTER,
DON_TY,DONOR TYPE - DECEASED OR LIVING,$DON_TYP,3,$3.00 ,TRR,1-Oct-87,,DONOR INFORMATION,CHAR,CHAR,,,DONOR TYPE - DECEASED OR LIVING,
DONOR_ID,ENCRYPTED DONOR IDENTIFIER,,8,,CALCULATED,,,,NUM,D,,,ENCRYPTED DONOR IDENTIFIER,
DOPAMINE_DON_OLD,DECEASED DONOR-DOPAMINE W/IN 24 HRS PRE-CROSS CLAMP,$SERSTAT,1,$1.00 ,DDR,1-Apr-94,27-Jan-03,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR DOPAMINE PRIOR TO CROSS CLAMP,
DRMIS,DR Locus MISMATCH LEVEL,,3,,CALCULATED,,,,NUM,CHAR,,,DR LOCUS MISMATCH LEVEL,
EBV_DNA_DON,LIVING DONOR EPSTEIN BARR VIRUS DNA,$SERSTAT,2,$2.00 ,LDR,25-Oct-99,,CLINICAL INFORMATION - SEROLOGY,CHAR,CHAR,"ND, U",ND; U,LDR EPSTEIN BARR VIRUS BY DNA,
EBV_IGG_CAD_DON,DECEASED DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT,$SERSTAT,2,$2.00 ,DDR,3-May-06,,CLINICAL INFORMATION,CHAR,CHAR,,C; ND; U; I; PD,DDR: EBV//IGG,
EBV_IGG_DON,LIVING DONOR EPSTEIN BARR VIRUS IGG,$SERSTAT,2,$2.00 ,LDR,25-Oct-99,,CLINICAL INFORMATION - SEROLOGY,CHAR,CHAR,"ND, U",ND; U,LDR EPSTEIN BARR VIRUS BY IGG,
EBV_IGM_CAD_DON,DECEASED DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT,$SERSTAT,2,$2.00 ,DDR,3-May-06,,CLINICAL INFORMATION,CHAR,CHAR,,C; ND; U; I; PD,DDR: EBV//IGM,
EBV_IGM_DON,LIVING DONOR EPSTEIN BARR VIRUS IGM,$SERSTAT,2,$2.00 ,LDR,25-Oct-99,,CLINICAL INFORMATION - SEROLOGY,CHAR,CHAR,"ND, U",ND; U,LDR EPSTEIN BARR VIRUS BY IGM,
EBV_SEROSTATUS,RECIPIENT EBV STATUS @ TRANSPLANT,$SERSTAT,1,,CALCULATED,,,,CHAR,CHAR,"ND, U",ND; U,EBV_SEROSTATUS,
EBV_TEST_DON,LIVING DONOR EPSTEIN BARR VIRUS TESTED?,,1,,LDR,1-Apr-94,,CLINICAL INFORMATION - SEROLOGY,CHAR,CHAR,U,U,"LDR EBV TESTED (Y,N,U)",
ECD_DONOR,EXPANDED DONOR PER KIDNEY ALLOCATION DEFINITION 1=YES,,8,,CALCULATED,1-Apr-94,,,NUM,CHAR,,,Expanded Donor Including Brain Dead and DCD (per Kidney allocation definition):Post 4/1/94,
ECMO_72HOURS,Recipient ECMO at 72 Hours,,2,$2 ,TRR,31-Mar-15,,CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR ECMO at 72 Hours,too many unkown cases
ECMO_TCR,PATIENT ON LIFE SUPPORT - ECMO @ REGISTRATION,,8,1,TCR,1-Apr-95,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR LIFE SUPPORT ECMO,
ECMO_TRR,PATIENT ON LIFE SUPPORT - ECMO @ TRANSPLANT,,8,1,TRR,1-Apr-95,,PATIENT STATUS,NUM,CHAR,,,TRR ECMO,
EDUCATION,RECIPIENT HIGHEST EDUCATIONAL LEVEL @ REGISTRATION,EDLEVEL,8,6,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,996 and 998,998,TCR HIGHEST EDUCATIONAL LEVEL,Check to see if this matters
EDUCATION_DON,LIVING DONOR-HIGHEST LEVEL OF EDUCATION,EDLEVEL,8,6,LDR,25-Oct-99,,DONOR INFORMATION,NUM,CHAR,,,DON HIGHEST EDUCATION LEVEL,Check to see if this matters
END_BLU_FLG,LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - BOTH (1=Y),,8,1,WAITING LIST DATA,1-Mar-95,,WAITING LIST DATA,NUM,CHAR,,,LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - BOTH (1=Y),
END_BMI_CALC,Calculated Candidate BMI at Removal/Current Time,,8,8.1,CALCULATED,,,,NUM,D,,,Calculated Candidate BMI at Removal/Current Time,
END_CALC_LAS,REMOVAL/CURRENT CALCULATED LUNG ALLOCATION SCORE,,8,,CALCULATED,4-May-05,,,NUM,D,,,REMOVAL/CURRENT CALCULATED LUNG ALLOCATION SCORE,
END_CREAT,"Serum Creatinine at TRR/Offer/Removal/Current Time (HL, LU only) ",,8,10.2,WAITING LIST DATA,,,WAITING LIST DATA,NUM,NUM,,,Serum Creatinine at TRR/Offer/Removal/Current Time,"(HL, LU only) Since May 4, 2005 collected on waitlist as LAS calculation, prior was collected on TCR"
END_DATE,"EARLIEST OF DATES OF REMOVAL FROM WAITING LIST, TRANSPLANT, DEATH, OR TIME COPY OF DATA CREATED",,8,MMDDYY10.,WAITING LIST DATA,1-Oct-87,,WAITING LIST DATA,NUM,D,,,ENDING DATE FOR REGISTRATION,"IF PATIENT TRANSPLANTED OR DIED, BUT WAS REMOVED AFTER THE EVENT, END_DATE IS BACKDATED TO GIVE THE DATE OF EVENT"
END_HGT_CM_CALC,Calculated Candidate Height in CM at Removal/Current Time,,8,8.1,CALCULATED,,,,NUM,D,,,Calculated Candidate Height in CM at Removal/Current Time,
END_LLU_FLG,LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - LEFT (1=Y),,8,1,WAITING LIST DATA,1-Mar-95,,WAITING LIST DATA,NUM,CHAR,,,LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - LEFT (1=Y),
END_MATCH_LAS,REMOVAL/CURRENT LUNG ALLOCATION SCORE AT MATCH TIME,,8,,CALCULATED,4-May-05,,,NUM,D,,,REMOVAL/CURRENT LUNG ALLOCATION SCORE AT MATCH TIME,
END_O2,O2 Requirement at Rest at TRR/Offer/Removal/Current Time,,8,10.2,WAITING LIST DATA,,,WAITING LIST DATA,NUM,NUM,,,O2 Requirement at Rest at TRR/Offer/Removal/Current Time,
END_OPO_CTR_CODE,ENCRYPTED REMOVAL/CURRENT OPO MAPPED FROM LISTING CENTER AND ENDING DATE,,12,$8.00 ,CALCULATED,,,,CHAR,D,,,,
END_PRIORITY,PEDIATRIC LUNG PRIORITY AT OFFER/TX/REMOVAL/CURRENT TIME,,8,,CALCULATED,,,,NUM,D,,,,
END_RLU_FLG,LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - RIGHT (1=Y),,8,1,WAITING LIST DATA,1-Mar-95,,WAITING LIST DATA,NUM,CHAR,,,LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - RIGHT (1=Y),
END_STAT,CANDIDATE STATUS AT TRANSPLANT OFFER/REMOVALCURRENT TIME,STAT,4,4,TRR>TCR,1-Jan-90,,WAITING LIST DATA,NUM,CHAR,,,WAITING LIST STATUS CODE AT TRANSPLANT,
END_WGT_KG_CALC,Calculated Candidate Weight in KG at Removal/Current Time,,8,8.1,CALCULATED,,,,NUM,D,,,Calculated Candidate Weight in KG at Removal/Current Time,It might calculated from follow up so I just used INIT_AGE instead
ETHCAT,RECIPIENT ETHNICITY CATEGORY,ETHCAT,8,2,TCR-CALCULATED,,,CANDIDATE INFORMATION,NUM,CHAR,,998,RECIPIENT ETHNICITY CATEGORY,
ETHCAT_DON,DONOR ETHNICITY CATEGORY,,8,,DDR/LDR-CALCULATED,,,DONOR INFORMATION,NUM,CHAR,,998,DONOR ETHNICITY CATEGORY,Check to see if this matters
ETHNICITY,RECIPIENT ETHNICITY (HISPANIC VS. NON-HISPANIC),ETHN,8,6,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR ETHNICITY,Check to see if this matters
EXERCISE_O2,EXERCISE OXYGEN CONSUMPTION ML/MIN/KG @ REGISTRATION,,8,10.2,TCR,25-Oct-99,,CLINICAL INFORMATION,NUM,CHAR,,,TCR EXERCISE OXYGEN CONSUMPTION,
EXTRACRANIAL_CANCER_DON,DECEASED DONOR-EXTRACANIAL CANCER AT PROCUREMENT,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR EXTRACANIAL CANCER AT PROCUREMENT,
FEV1_TRR,PULMONARY STATUS: FEV1 % PREDICTED @ TRANSPLANT,,8,11,TRR,1-Oct-90,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR FEV1 %,
FIO2_72HOURS,Recipient FiO2 at 72 Hours,,2,$2 ,TRR,31-Mar-15,,CLINICAL INFORMATION,CHAR,CHAR,,,TRR FiO2 at 72 Hours,
FUNC_STAT_TCR,RECIPIENT FUNCTIONAL STATUS @ REGISTRATION,FUNCSTAT,8,6,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,,998,TCR FUNCTIONAL STATUS @ LISTING,
FUNC_STAT_TRF,RECIPIENT FUNCTIONAL STATUS-MOST RECENT AT FOLLOW-UP,FUNCSTAT,8,6,TRF,1-Apr-97,,PATIENT STATUS AT TIME OF FOLLOW-UP,NUM,CHAR,,998,FUNCTIONAL STATUS AT MOST RECENT FOLLOW-UP,
FUNC_STAT_TRR,RECIPIENT FUNCTIONAL STATUS @TRANSPLANT,FUNCSTAT,8,6,TRR,1-Apr-94,,PATIENT STATUS,NUM,CHAR,,998,TRR FUNCTIONAL STATUS @ TRANSPLANT,
FVC_TRR,PULMONARY STATUS: FVC % PREDICTED @ TRANSPLANT,,8,11,TRR,1-Oct-90,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR FVC %,
GENDER,RECIPIENT GENDER,,1,$1.00 ,TCR,1-Oct-87,,CANDIDATE INFORMATION,CHAR,CHAR,,,TCR RECIPIENT GENDER,
GENDER_DON,DONOR GENDER,,1,$1.00 ,DDR/LDR,1-Oct-87,,DONOR INFORMATION,CHAR,CHAR,,,DR GENDER,
GRF_FAIL_CAUSE,CAUSE OF GRAFT FAILURE,PRIGFAIL,8,,TRR/TRF ,30-Jun-04,,CLINICAL INFORMATION,NUM,D,,,CAUSE OF GRAFT FAILURE,
GRF_FAIL_CAUSE_OSTXT,CAUSE OF GRAFT FAILURE OTHER SPECIFIED TEXT,,50,$50 ,TRR/TRF,1-Mar-08,,CLINICAL INFORMATION,CHAR,D,,,Cause of Graft Failure - Other Specification,
GRF_FAIL_DATE,DATE OF GRAFT FAILURE,,8,MMDDYY10.,TRR/TRF ,30-Jun-04,,CLINICAL INFORMATION,NUM,DATE,,,DATE OF GRAFT FAILURE,
GRF_STAT,GRAFT STATUS,$GRFSTAT,1,,TRR/TRF ,30-Jun-04,,CLINICAL INFORMATION,CHAR,CHAR,,,GRAFT STATUS,
GROUPING,LU/HL DIAGNOSIS GROUPING ON WL(ON THORACIC_DGN/TCR_TGN/TRR_DGN),,1,$1.00 ,TCR/TRR,,,,CHAR,CHAR,,,LU/HL DIAGNOSIS GROUPING ON WL(ON THORACIC_DGN/TCR_TGN/TRR_DGN),
GSTATUS,GRAFT FAILED (1=YES),,8,,CALCULATED,,,,NUM,CHAR,,,"BOOLEAN: PAT_STAT IN(""D"",""R"")",
GTIME,GRAFT LIFESPAN-Days From Transplant to Failure/Death/Last Follow-Up,,8,,CALCULATED,,,,NUM,NUM,,,FOLLDATE - TX_DATE,
HBSAB_DON,DECEASED DONOR HBSAB TEST RESULT,$SERSTAT,2,$2.00 ,DDR,3-May-06,,CLINICAL INFORMATION,CHAR,CHAR,,C; I; ND; U,DDR: HBSAB,
HBV_CORE,RECIPIENT HEPATITIS B-CORE ANTIBODY,$SERSTAT,2,$2.00 ,TRR,1-Oct-87,,,CHAR,CHAR,"ND, U",ND; U,RECIPIENT HEPATITIS B-CORE ANTIBODY,
HBV_CORE_DON,DONOR HBV CORE ANTIBODY,$SERSTAT,2,$2.00 ,CDR/LDR,1-Apr-94,,,CHAR,CHAR,,C; ND; U; I; PD,DONOR HBV CORE ANTIBODY,
HBV_DNA_DON,LIVING DONOR HBV DNA,$SERSTAT,2,$2.00 ,LDR,1-Apr-94,,,CHAR,CHAR,,ND; U,"LDR HBV DNA (P,N,ND,U)",
HBV_SUR_ANTIGEN,RECIPIENT HEP B SURFACE ANTIGEN,$SERSTAT,2,$2.00 ,TRR,1-Oct-87,,,CHAR,CHAR,"ND, U",ND; U,TRR HEP B SURFACE ANTIGEN,
HBV_SUR_ANTIGEN_DON,DONOR HEP B SURFACE ANTIGEN,$SERSTAT,2,$2.00 ,CDR/LDR,1-Oct-87,,,CHAR,CHAR,,C; ND; U; I; PD,"CDR,LDR HBV SURFACE ANTIGEN (P,N,ND,U)",
HBV_SURF_TOTAL,RECIPIENT HBV Surface Antibody Total @ TRANSPLANT,$SERSTAT,2,$2.00 ,TRR,31-Mar-15,,CLINICAL INFORMATION,CHAR,CHAR,"ND, U",ND; U,TRR HBV Surface Antibody Total,
HBV_TEST_DON,LIVING DONOR HBV TEST DONE,,1,$1.00 ,LDR,1-Apr-94,,,CHAR,CHAR,U,U,"LDR HBV TESTED (Y,N,U)",
HCV_ANTIBODY_DON,LIVING DONOR HEP C ANTIBODY,$SERSTAT,2,$2.00 ,LDR,1-Apr-94,,,CHAR,CHAR,"ND, U",ND; U,"LDR HCV ANTIBODY (P,N,ND,U)",
HCV_RIBA_DON,LIVING DONOR HEP C-RIBA TEST,$SERSTAT,2,$2.00 ,LDR,1-Apr-94,,,CHAR,CHAR,"ND, U",ND; U,"LDR HCV RIBA (P,N,ND,U)",
HCV_RNA_DON,LIVING DONOR HEP C RNA,$SERSTAT,2,$2.00 ,LDR,1-Apr-94,,,CHAR,CHAR,,ND; U,"LDR HCV RNA (P,N,ND,U)",
HCV_SEROSTATUS,RECIPIENT HEP C STATUS,$SERSTAT,1,$2.00 ,TRR,1-Apr-94,,,CHAR,CHAR,"ND, U",ND; U,HCV_SEROSTATUS,
HCV_TEST_DON,LIVING DONOR HEP C TEST DONE?,,1,$1.00 ,LDR,1-Apr-94,,,CHAR,CHAR,U,U,"LDR HCV TESTED (Y,N,U)",
HEMATOCRIT_DON,DDR:Hematocrit:,,8,7.2,DDR,30-Jun-04,,CLINICAL INFORMATION,NUM,NUM,,,DDR:Hematocrit:,
HEMO_CO_TCR,MOST RECENT HEMODYNAMICS CO L/MIN @ REGISTRATION,,8,10.2,TCR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,TCR CO L/MIN,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_CO_TRR,MOST RECENT HEMODYNAMICS CO L/MIN @ TRANSPLANT,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR CO L/MIN,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_DIA_TCR,MOST RECENT HEMODYNAMICS PA (DIA) MM/HG @ REGISTRATION,,8,10.2,TCR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,TCR PA(DIA) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_DIA_TRR,MOST RECENT HEMODYNAMICS PA (DIA) MM/HG @ TRANSPLANT,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR PA(DIA) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_MN_TCR,MOST RECENT HEMODYNAMICS PA (MEAN) MM/HG @ REGISTRATION,,8,10.2,TCR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,TCR PA(MEAN) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_MN_TRR,MOST RECENT HEMODYNAMICS PA (MEAN) MM/HG @ TRANSPLANT,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR PA(MEAN) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PCW_TCR,MOST RECENT HEMODYNAMICS PCW (MEAN) MM/HG @ REGISTRATION,,8,10.2,TCR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,TCR PCW(MEAN) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PCW_TRR,MOST RECENT HEMODYNAMICS PCW (MEAN) MM/HG @ TRANSPLANT,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR PCW(MEAN) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_SYS_TCR,MOST RECENT HEMODYNAMICS PA (SYS) MM/HG @ REGISTRATION,,8,10.2,TCR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,TCR PA(SYS) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_SYS_TRR,MOST RECENT HEMODYNAMICS PA (SYS) MM/HG @ TRANSPLANT,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR PA(SYS) MM/HG,BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEP_C_ANTI_DON,DECEASED DONOR-ANTIBODY TO HEP C VIRUS RESULT,$SERSTAT,2,$2.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,C; ND; U; I; PD,DDR ANTIBODY TO HEP C VIRUS,
HEPARIN_DON,DECEASED DONOR MANAGEMENT - HEPARIN (NO COLLECTION BETWEEN 10/25/99 - 1/27/03),,1,$1.00 ,DDR ,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR PRERECOVERY HEPARIN :NOT COLLECTED 10/25/99-1/25/03,
HGT_CM_CALC,CALCULATED RECIPIENT HEIGHT(cm),,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Recipient Height (cm),
HGT_CM_DON_CALC,CALCULATED DONOR HEIGHT (CM),,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Donor Height,
HGT_CM_TCR,RECIPIENT HEIGHT @ REGISTRATION,,8,8,TCR,1-Oct-87,,CLINICAL INFORMATION,NUM,NUM,,,TCR HEIGHT (CM) AT TIME OF LISTING,
HIST_ALCOHOL_OLD_DON,DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY,,1,$1.00 ,DDR,1-Apr-94,29-Jun-04,DONOR HISTORY,CHAR,CHAR,U,U,DDR HISTORY OF ALCOHOL DEPENDENCY,
HIST_CANCER_DON,DECEASED DONOR-HISTORY OF CANCER (Y/N),,1,,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HISTORY OF CANCER (Y/N),
HIST_CIG_DON,DECEASED DONOR-HISTORY OF CIGARETTES IN PAST @ >20PACK YRS,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HISTORY OF CIGARETTE USE,
HIST_COCAINE_DON,DECEASED DONOR-HISTORY OF COCAINE USE IN PAST,,1,$1.00 ,DDR,25-Oct-99,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HISTORY OF COCAINE (Y/N),
HIST_DIABETES_DON,"DECEASED DONOR-HISTORY OF DIABETES, INCL. DURATION OF DISEASE",HISTDIAB,8,6,DDR,1-Apr-94,,DONOR HISTORY,NUM,CHAR,U,U,DDR HISTORY OF DIABETES,Durration- num and history is catagorical
HIST_HYPERTENS_DON,DECEASED DONOR-HISTORY OF HYPERTENSION,,1,,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HISTORY OF HYPERTENSION,
HIST_INSULIN_DEP_DON,"DECEASED DONOR-INSULIN DEPENDENT DIABETES (Y,N)",,1,,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR INSULIN DEPENDENT (Y/N),"UNROLLED FROM INSULIN_DUR_DON TO INCLUDE ONLY THE Y,N RESPONSE"
HIST_IV_DRUG_OLD_DON,DECEASED DONOR-HISTORY OF IV DRUG USE IN PAST,,1,$1.00 ,DDR,1-Apr-94,29-Jun-04,DONOR HISTORY,CHAR,CHAR,U,U,DDR HISTORY OF IV DRUG USE,
HIST_MI,DECEASED DONOR HISTORY OF PREVIOUS MI (MYOCARDIAL INFARCTION),,1,$1.00 ,DDR,25-Oct-99,,HEART DONOR'S CARDIAC FUNCTION,CHAR,CHAR,,,DON HISTORY OF PREVIOUS MI,
HIST_OTH_DRUG_DON,DECEASED DONOR-HISTORY OF OTHER DRUG USE IN PAST,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HISTORY OF OTHER DRUG USE (Y/N),
HISTRY_CIG_OLD,CIGARETTE USE > 20 PACK YRS (PRE-10/25/99),,1,$1 ,TCR,1-Apr-94,25-Oct-99,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,U,U,TCR CIGARETTED USE > 20 PACK YRS (PRE 10/25/99),
HIV_SEROSTATUS,RECIPIENT HIV SEROSTATUS AT TRANSPLANT,,2,$2.00 ,TRR,1-Oct-87,,CLINICAL INFORMATION,CHAR,CHAR,"ND, U",ND; U,TRR HIV SEROSTATUS:,
HLAMIS,HLA MISMATCH LEVEL,,3,,CALCULATED,,,,NUM,CHAR,,,HLA MISMATCH LEVEL,
HOME_STATE_DON,DR HOME STATE,$STATE,2,$2.00 ,DDR/LDR,1-Oct-87,,DONOR INFORMATION,CHAR,CHAR,ZZ,ZZ,DR HOME STATE,
HTLV1_OLD_DON,DECEASED DONOR-ANTIBODY TO HTLV I RESULT,$SERSTAT,2,$2.00 ,DDR,1-Apr-94,29-Jun-04,CLINICAL INFORMATION,CHAR,CHAR,"C, ND, U (I= indeterminate)",C; ND; U; I,DDR SEROLOGY ANTI HTLV I,
HTLV2_OLD_DON,DECEASED DONOR-ANTIBODY TO HTLV II RESULT,$SERSTAT,2,$2.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,"C, ND, U (I= indeterminate)",C; ND; U; I,DDR SEROLOGY ANTI HTLV II,
HYPERTENS_DUR_DON,DECEASED DONOR-HYPERTENSION DURATION,HISTHYPE,8,6,DDR,1-Apr-94,,DONOR HISTORY,NUM,CHAR,,,DDR HYPERTENSION DURATION,
IABP_TCR,PATIENT ON LIFE SUPPORT - IABP @ REGISTRATION,,8,1,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR LIFE SUPPORT IABP,
IABP_TRR,PATIENT ON LIFE SUPPORT - IABP @ TRANSPLANT,,8,1,TRR,1-Oct-87,,PATIENT STATUS,NUM,CHAR,,,TRR IABP,
ICU,CANDIDATE IN ICU,,1,$1 ,WL,,,WAITING LIST DATA,CHAR,CHAR,,,WL CANDIDATE IN ICU,
IMPL_DEFIBRIL,IMPLANTABLE ` Y/N/U @ REGISTRATION,,1,$1.00 ,TCR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,TCR IMPLANTABLE DEFIBRILLATOR,
INFECT_IV_DRUG_TRR,INFECTION REQUIRING IV DRUG THERAPY (WITHIN 2 WEEKS PRIOR TO TRANSPLANT),,1,$1.00 ,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR INFECTION: IV DRUG THERAPY - SINCE LISTING,
INHALED_NO,CANDIDATE INHALED NO,,8,1,WL,,,WAITING LIST DATA,NUM,CHAR,,,TCR INHALED NO,
INHALED_NO_TCR,TCR Patient on Life Support://Inhaled NO,,8,1,TCR,30-Jun-04,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR Life Support: INHALED_NO,
INHALED_NO_TRR,TRR Patient on Life Support://Inhaled NO,,8,1,TRR,,,PATIENT STATUS,NUM,CHAR,,,TRR Life Support: INHALED_NO,
INHALEDNO_72HOURS,Recipient Inhaled NO at 72 Hours,,2,$2 ,TRR,31-Mar-15,,CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR Inhaled NO at 72 Hours,
INIT_AGE,AGE IN YEARS AT TIME OF LISTING,,8,4,CALCULATED,1-Oct-87,,,NUM,NUM,,-1,CALCULATE AGE AT LISTING,
INIT_BLU_FLG,LUNG PREFERENCE AT LISTING - BOTH (1=Y),,8,1,WAITING LIST DATA,1-Mar-95,,WAITING LIST DATA,NUM,CHAR,,,LUNG PREFERENCE AT LISTING - BOTH (1=Y),
INIT_BMI_CALC,Calculated Candidate BMI at Listing,,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Candidate BMI at Listing,
INIT_CALC_LAS,INITIAL CALCULATED LUNG ALLOCATION SCORE,,8,,CALCULATED,4-May-05,,,NUM,NUM,,,INITIAL CALCULATED LUNG ALLOCATION SCORE,
INIT_CREAT,"Serum Creatinine at TCR/Listing (HL, LU only) ",,8,10.2,WAITING LIST DATA,,,WAITING LIST DATA,NUM,NUM,,,Serum Creatinine at TCR/Listing,"(HL, LU only) Since May 4, 2005 collected on waitlist as LAS calculation, prior was collected on TCR"
INIT_DATE,BEGINNING DATE FOR REGISTRATION,,8,MMDDYY10.,WAITING LIST DATA,1-Oct-87,,WAITING LIST DATA,NUM,DATE,,,BEGINNING DATE FOR REGISTRATION,
INIT_HGT_CM_CALC,Calculated Candidate Height in CM at Listing,,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Candidate Height in CM at Listing,
INIT_LLU_FLG,LUNG PREFERENCE AT LISTING - LEFT (1=Y),,8,1,WAITING LIST DATA,1-Mar-95,,WAITING LIST DATA,NUM,CHAR,,,LUNG PREFERENCE AT LISTING - LEFT (1=Y),
INIT_MATCH_LAS,INITIAL LUNG ALLOCATION SCORE AT MATCH TIME,,8,,CALCULATED,4-May-05,,,NUM,NUM,,,INITIAL LUNG ALLOCATION SCORE AT MATCH TIME,
INIT_O2,O2 Requirement at Rest at TCR/Listing,,8,10.2,WAITING LIST DATA,,,WAITING LIST DATA,NUM,NUM,,,O2 Requirement at Rest at TCR/Listing,
INIT_OPO_CTR_CODE,ENCRYPTED INITIAL OPO MAPPED FROM LISTING CENTER AND BEGINNING DATE,,12,$8.00 ,CALCULATED,,,,CHAR,CHAR,,,,
